solvent ID,smiles,EA_values,protic
zinc_217876279,CCC[C@H]1C[C@@H](O)CN1C(C)C,-5.56319006217516,True
zinc_132214672,CO[C@H](C)[C@H](C)NCCO,-5.54485653264154,True
zinc_45328862,CCCNC1COC1,-4.37640373471586,True
zinc_308016471,CC[C@@H]1CC[C@H]1N[C@@H](C)COC,-5.43168944455894,True
zinc_52602181,CCNC[C@H](C)OC,-4.4142084621773,True
zinc_50403410,CCC[C@@H](CC)NC[C@@H](O)CC,-5.66769836891189,True
zinc_656771491,C[C@H]1C[C@@H]1CN1C[C@H](OC(F)F)C1,-5.23854142590659,False
zinc_639248529,CC[C@H]1CN(C[C@@](C)(CC)OC)C1,-5.65012368912083,False
zinc_1682062,OCCN1CCCCCC1,-5.65704564352213,True
zinc_1681819,OCCN1CC1,-4.77837114403892,True
zinc_134174024,C[C@H]1CCC[C@@H](C)N1C[C@H]1CO1,-5.51282132642641,False
zinc_222797227,C[C@H]1C[C@H]1CN[C@H](C)CC1CC1,-5.30147831917057,True
zinc_308632433,CC[C@H](COC)N[C@@H](C)CCC1CC1,-5.25963437720323,True
zinc_642681004,CC[C@H](CN(C)CCCOC)OC,-5.60338730155591,False
zinc_662165877,C=CCCCN[C@H](C=C)CO,-3.80832588186627,True
zinc_646088437,C=C(CC)CN(C)C(C)(C)C,-4.09839311709915,False
zinc_689895764,COC(CN1CC[C@@H](F)C1)OC,-5.69993950051725,False
zinc_138995782,C[C@@H]1[C@H](CO)CCN1C,-4.35509529326376,True
zinc_642722226,CCOCCN1C[C@H](C)[C@H](C)[C@@H]1C,-5.33216890777177,False
zinc_164007457,CO[C@@H](C)[C@H](C)N[C@@H](C)C[C@H](C)O,-5.31332666735688,True
zinc_44480703,CCOCCNC1CCC1,-5.43210490569914,True
zinc_644919975,COCCN(C)C[C@H](OC)C1CC1,-5.28918821346884,False
zinc_104615776,CCNC1(CC)CCCC1,-5.90119208290185,True
zinc_235549491,C[C@H](O)CN(C)[C@H](C)CO,-5.52453827357543,True
zinc_656657903,CCOC1CN(CCCC(C)C)C1,-4.42947420725403,False
zinc_388381051,COC[C@@H](C)N[C@@H]1CCC[C@H]1C,-5.34529917719883,True
zinc_53302809,COCCNCCC(F)F,-4.29708802694184,True
zinc_87689934,CN(CCF)CC(C)(C)O,-5.75434327461197,True
zinc_34770970,CC(C)C(C(C)C)N1CCOCC1,-3.99611173056947,False
zinc_50103713,CC(C)N(CCO)CC(F)F,-4.81863773471366,True
zinc_697609987,C[C@H](O)[C@@H](C)NCC(C)(F)F,-4.78590731813201,True
zinc_129486554,C[C@@H]1C[C@H](N[C@H](C)C2CC2)C1,-5.39408711295309,True
zinc_674467440,COCCCN1CC[C@H](OC)C1,-5.4043688601055,False
zinc_307927692,C=C(C)CCN(CC)C(C)C,-4.13051823212436,False
zinc_409424471,OCCN1CCC[C@@H](F)C1,-4.6193866942997,True
zinc_306195622,OC[C@@H](NCCF)C1CC1,-5.55026310466231,True
zinc_678182645,CCC(CC)CN1CCOC[C@H]1CC,-6.05595362072652,False
zinc_70558599,COC[C@H](O)CNCC(C)C,-5.1667984808303,True
zinc_161571242,CCC[C@H](CC)N[C@H](C)[C@@H](C)OC,-5.6196551378235,True
zinc_308641424,C=C[C@H](CO)N[C@H](C)CCC=C(C)C,-3.80955227357401,True
zinc_3733588,CC[C@@H]1NCC[C@H]1C,-5.71257946114005,True
zinc_61479390,COC(=O)CN(C)CC1CCC1,-4.00864537409556,False
zinc_930603256,CC[C@H](CO)N1CC[C@H](F)C1,-4.11686491813416,True
zinc_379308286,CC[C@H](C)NC1(COC)CC1,-5.50672145699524,True
zinc_307407944,C[C@@H]1CN(C[C@@H](O)CF)C[C@H]1C,-4.34563137409339,True
zinc_306207818,C[C@@H](CF)N[C@H](C)C1CC1,-5.60185855544063,True
zinc_166791890,CC(C)[C@H](N[C@H](C)CO)C1CC1,-5.30194122694194,True
zinc_334953472,C=C(C)CN1CCCC[C@H]1[C@@H](C)O,-3.99921602279825,True
zinc_650181812,C=CCCN(CC(F)F)C[C@@H](C)O,-3.99844666528606,True
zinc_669687654,CC(C)COCCN1CCCC[C@@H]1C,-5.39022892849589,False
zinc_19092124,CCN(C)[C@@H](C)CCN,-4.58823298238232,True
zinc_307264647,COC(=O)CN1C[C@H](C)[C@H](C)[C@H]1C,-5.46747479378209,False
zinc_397108528,CC[C@H](CN(C)CCCO)OC,-5.61712354611506,True
zinc_32228566,O[C@@H](CN1CCCC1)C(F)(F)F,-4.51217209740942,True
zinc_306468110,CC[C@H](F)CN1CC[C@H](O)C1,-5.10579555647782,True
zinc_77261187,CC(C)CCCN(C)CCN,-4.44427203316135,True
zinc_167081773,CO[C@@H](C)CN[C@@H](C)C1CCCC1,-5.20949678549276,True
zinc_307079957,C[C@@H]1CCN(C[C@@H](O)CF)C[C@@H]1C,-4.71329247046594,True
zinc_3622806,OCCCN1CCCC1,-5.41033398756379,True
zinc_117630521,OCCN1CCC(F)(F)C1,-4.81557156683836,True
zinc_306427877,C[C@H]1CN(CCF)C[C@@H]1C,-5.70333353782417,False
zinc_21363208,C1CC1CN1C[C@H]2C[C@H]2C1,-5.42552644766955,False
zinc_405092868,C[C@@H](O)[C@H](C)N1CCCC(F)(F)C1,-5.74874341347002,True
zinc_233726233,CCOC[C@@H](NCC1CCC1)C(C)C,-5.4486452435232,True
zinc_133117635,COC(C)(C)CN[C@@H](C)C1CC1,-5.24218975129506,True
zinc_659849729,COCCN(C)C[C@H]1CC=CC1,-4.16795796269207,False
zinc_130995429,FC(F)COCCNC1CCCC1,-5.28940944248498,True
zinc_307936692,CCN(CCO)CCCCF,-4.81300888290301,True
zinc_679862068,C=C(C)CN(C)C[C@@H](C)OC,-4.04036992746262,False
zinc_906530837,CCCCN1CC(OC(F)F)C1,-4.58131145906607,False
zinc_385024990,CCCCNC(COC)COC,-5.50087186114201,True
zinc_44116065,CCN(CC)[C@@H](C)[C@H](C)O,-4.80415306735648,True
zinc_1692466,CN1CCCC1,-4.54042280828984,False
zinc_41043291,CCOCCNCC(C)(C)C,-4.32487766217731,True
zinc_168976282,C=C(C)CCN[C@@H](C)COCC,-4.09012228808052,True
zinc_308548805,C=C[C@H](CO)N[C@H](C)CCCC(C)C,-3.74482539482094,True
zinc_752087775,CO[C@@H]1CCN(CCOC(C)C)C1,-5.56028924352303,False
zinc_144147770,C[C@@H](CO)N1CC[C@@H](F)C1,-4.80632327254012,True
zinc_113073424,COCCN1CCC(C)(F)CC1,-5.36427906943256,False
zinc_79064795,OCCN1CCC1,-5.52784474611344,True
zinc_396963595,CC[C@H](CN(C)CC(=O)OC)OC,-3.92892638341954,False
zinc_37472532,CCOC(=O)CN[C@H](C)[C@H](C)CC,-3.96817296580301,True
zinc_336555736,C[C@H]1COC[C@H](C)N1CC1CC1,-5.41974806217638,False
zinc_20037499,N#CCNCC1CC1,-3.53761151087955,True
zinc_200174426,CC(C)[C@@H]1C[N@@](C2CCCC2)CCO1,-5.47889674196891,False
zinc_393414762,COC[C@@H](C)NCC(C)(F)F,-4.21146919171094,True
zinc_42459214,COCCN(C)C[C@H](C)C#N,-3.64336676684012,False
zinc_19093337,COCCNCC1CC1,-4.32947793782282,True
zinc_671677590,C[C@H](C1CC1)N(CCCCF)C1CC1,-5.29818065699245,False
zinc_53550220,CCC(CC)NC[C@@H](C)OC,-5.77945210777373,True
zinc_649694121,CC(C)N(CCCCF)C1COC1,-5.50254259689236,False
zinc_1320117573,CO[C@H](C)CN1C[C@H]2CC[C@@H]1CC2,-5.48110857409181,False
zinc_384894249,CC/C=C\CNC[C@@H](O)CC,-4.0701351585504,True
zinc_685002938,C[C@H](O)CN(CC(F)F)CC1CC1,-5.45423492020509,True
zinc_388277651,CCN(CC)CCCCC(F)(F)F,-5.56054407046664,False
zinc_635906636,CC(C)OCCN1[C@H]2CC[C@@H]1CC2,-5.48815112538777,False
zinc_1672246,CCCCOCCN,-5.93238976580274,True
zinc_98214188,CCNC1(CC)COC1,-4.44580934714896,True
zinc_16941898,CNCC1CCN(C)CC1,-4.37794950880799,True
zinc_379573281,COC[C@H](CC(C)C)NCC1CCC1,-5.2986248393772,True
zinc_2572897,CCCCNCCOCC,-4.33949133264363,True
zinc_15446041,C[C@H](CN)CO,-5.51953614300742,True
zinc_12137833,CO[C@H](C)CN,-5.69755876269381,True
zinc_379363517,COC(CN1CCC(F)(F)C1)OC,-5.25186600829046,False
zinc_4759331,C=C[C@@H](O)CN1C[C@@H]1CC(C)C,-3.71209187979277,True
zinc_5807589,CCN(CC)CCC[C@@H](C)NC,-5.51134264041527,True
zinc_107118805,CC(C)N[C@@H](CCO)C1CC1,-5.01309989844478,True
zinc_322719795,CC[C@](C)(CNCCCF)OC,-4.29829671710013,True
zinc_35733624,C[C@H](NCC#N)C1CC1,-3.63923909844481,True
zinc_133268428,CCOC[C@@H](C)N[C@@H](C)CC1CCC1,-5.33549477927512,True
zinc_2040173,CCCCN(C)C,-4.29528063627015,False
zinc_84177723,CC(C)[C@H](C)NCCOC(F)(F)F,-4.40378852435013,True
zinc_308140091,CC.[C@H]1(C[C@@H]2CCC[N@@]2C1)C=O.C,-3.30964143627344,True
zinc_824555314,CC(C)C[C@H](C)NC(CF)CF,-5.51908584455931,True
zinc_1353275122,CC(C)CC[C@@H](O)CNCCF,-4.70479817616548,True
zinc_308403139,CC[C@@H]1CC[C@@H]1NCCOC(C)C,-5.40855375544357,True
zinc_887098991,N#CCN(CC(F)F)C1CCC1,-3.6192275585498,False
zinc_161875058,CCOC[C@@H](C)NCCC1CCC1,-5.40302540103314,True
zinc_307967747,C1CC(OCCN2CCCC2)C1,-5.26654038134721,False
zinc_70595425,C=CCCCN(CC(=O)OC)C(C)C,-3.99875271088302,False
zinc_379311644,C[C@@H]1COCCN1CCCCF,-5.5025017782393,False
zinc_307959703,C=CCN(CC=C)C[C@H](O)CC,-3.850239579273,True
zinc_679850407,CO[C@H](C)CN(C)CC(F)F,-5.37603963730512,False
zinc_639836947,CC[C@H](C)CN1CCO[C@@H](OC)C1,-5.57348342176252,False
zinc_887138621,CCCCCN(C)CCCF,-5.87815683730585,False
zinc_307759536,C[C@@H]1CN(CCC(F)(F)F)C[C@H]1O,-4.77754593367648,True
zinc_51696358,CCCC[C@@H](COC)NCCC,-5.56332779481909,True
zinc_2509146,CCCCCCNCCCC,-4.55010461554381,True
zinc_85350969,COC(CN1CCO[C@H](C)C1)OC,-5.57070379274643,False
zinc_378759039,COC[C@@H](C)N[C@@H]1CCC[C@H]1OC,-5.55268118549268,True
zinc_20037678,COC(=O)CNCC1CC1,-3.91936875647878,True
zinc_336255736,OCCN1CCC(CF)CC1,-4.46304734715006,True
zinc_229978956,C=C(C)CNC[C@H](O)CC,-4.02375563108887,True
zinc_168743635,C=CCCNC[C@@H](O)CC,-3.97057706321301,True
zinc_307418565,OCCN1CCC[C@@H]1C(F)F,-5.43884588393412,True
zinc_20036817,CC(C)CNCC#N,-3.54820620103575,True
zinc_82416090,CN(CCCCO)CCC(F)(F)F,-4.85194052849994,True
zinc_308603371,CC[C@@H](CN[C@H](C)CCC1CC1)OC,-5.20110385077794,True
zinc_307701902,CC[C@@H]1CN(CCF)C[C@H](C)O1,-5.48976169740976,False
zinc_656771516,CC1(CN2CC(OC(F)F)C2)CC1,-5.1352483564735,False
zinc_652016135,CC(C)CN[C@@H](CO)CCF,-5.37752144870704,True
zinc_238238950,CCCCCCN(C)[C@@H](CC)CO,-5.64580176165568,True
zinc_145682557,C=CCN(CC=C)CC[C@H](C)O,-3.89647102797882,True
zinc_14193624,COC(=O)CN1CCC(C)CC1,-4.00115015336607,False
zinc_388513462,CCCCCN(CC)[C@H](C)CO,-5.55400874818856,True
zinc_591374091,CO[C@H](CC(C)C)CN(C)CC#N,-3.56614369533723,False
zinc_308627183,C=C[C@@H](COC)NC(CCC)CCC,-3.97321728911967,True
zinc_37184400,CCCN[C@@H]1CCCC[C@H]1OC,-5.65170060932378,True
zinc_378828552,C=CCCCNC[C@@H](CCC)OC,-3.99531912124466,True
zinc_388340253,CCCC[C@@H](C)N[C@@H](C)[C@H](C)OC,-5.60447641865363,True
zinc_388488444,C=CCCCCN[C@@H](C)[C@H](C)O,-4.00874455129636,True
zinc_642526411,CCOCCN(CC(C)C)C1CC1,-4.04091959170751,False
zinc_158288367,CCOCCN[C@@H]1C[C@H](C)C1,-5.35665945284963,True
zinc_36951001,COC[C@H](O)CNC(C)C,-5.42640554404221,True
zinc_335382730,CC[C@@H](C)CN1CC2(CC2)C1,-5.60824420932566,False
zinc_44481383,COC(=O)[C@H](C)NC1CCC1,-3.99985276683849,True
zinc_35207524,CCOC(=O)CN(C)[C@H](C)C1CC1,-3.97153068393862,False
zinc_33611403,CCOCCN(C)CCCN(C)C,-4.25044165596094,False
zinc_306326885,C[C@@H]1CCCN(CC(F)F)[C@@H]1CO,-4.79846658445461,True
zinc_307584089,CC(C)[C@H](O)CN1[C@@H](C)C[C@@H]1C,-5.39117850777211,True
zinc_16083064,NC1COC1,-4.39059900725485,True
zinc_1580699,CC(C)(C)N1CCC1,-5.65447315233093,False
zinc_124813132,OC[C@H]1CCCCCN1CCF,-5.43635284766881,True
zinc_308575214,C=CCC[C@@H](CCC)NC[C@H](C)OC,-3.98435054300515,True
zinc_307690560,COC[C@@H](C)N[C@H]1CC[C@@H]1C,-5.51734074611233,True
zinc_161522180,CC[C@@H](C)CNCC[C@H](O)CC,-5.36643898237914,True
zinc_20831726,C1CC(CNC2CCC2)C1,-5.50820962694193,True
zinc_19266990,CCCCCNCC,-4.5912046880834,True
zinc_892479713,CCCCN[C@@H](C)COC(=O)C,-3.96150643108975,True
zinc_87476805,COCCN[C@@H](COC)C1CC1,-5.68860883523456,True
zinc_308255243,C[C@@H](O)CN(CC(F)F)[C@H](C)CO,-5.51587364559648,True
zinc_166641689,C[C@@H]1C[C@H](NCCCF)C1,-5.38593176165867,True
zinc_2042249,C=C[C@H](CO)N(CC)CC,-3.6885038715023,True
zinc_335425962,CC(C)N[C@H]1CO[C@@H](C)C1,-5.36084795855051,True
zinc_1880633616,C[C@@H](N1CC[C@@H](O)C1)C(F)(F)F,-4.99577419896423,True
zinc_307040834,C[C@H]1[C@H](O)CCCN1CC(F)F,-4.56976061554558,True
zinc_20254956,CCCCN1CCOCC1,-5.5849928538855,False
zinc_388740495,CN(CC#N)CCCCC(F)(F)F,-3.54153107150132,False
zinc_395694610,CC[C@@H](NCC1CC1)[C@@H](C)O,-4.68437386942986,True
zinc_528769623,COCCN1CCC(F)(F)C[C@H]1C,-4.78431401657749,False
zinc_307614593,O[C@H](CF)CN1CCCCCC1,-5.50095239378436,True
zinc_34925163,C[C@H](CO)N1CCCC1,-5.09900190466269,True
zinc_20230620,CCN1CCOCC1,-5.63631814715006,False
zinc_43628378,CCCCCN(C)[C@@H](C)C(=O)OC,-3.97471941554401,False
