# ,solvent,species_id,species,diffusion (m2/s),std,R2
,tbae,3,BF4-,1.470358686204881e-10,6.6136523287168705e-15,0.9959699321138878
,tbae,4,CO2,5.042644989496976e-10,4.877942534045767e-14,0.9816289522630052
19,tbap,1,TBA+,2.024229319813544e-10,9.858973334745084e-15,0.995278082
,tbap,2,Solvent,4.1078476884808436e-10,3.000588744020573e-15,0.9998932991349392
,tbap,3,BF4-,3.1711840401575435e-10,3.642937870574823e-14,0.9742855700659876
,tbap,4,CO2,1.9709411292929327e-09,9.58795375053649e-14,0.9952893168434052
20,thf,1,TBA+,6.09001581207448e-10,3.282528793495381e-14,0.9942231100062998
,thf,2,Solvent,2.763148834663788e-09,1.3985858176959284e-14,0.9999487637393272
,thf,3,BF4-,6.240893314516347e-10,8.340304116013725e-14,0.9655127729982248
,thf,4,CO2,5.056373645513015e-09,4.004791237334294e-13,0.9876092782935788
21,zinc_12495988,1,TBA+,2.709844916954013e-10,2.20247265836576e-14,0.9869604701898332
,zinc_12495988,2,Solvent,9.365209211727795e-10,4.602450273314725e-15,0.9999516994294314
,zinc_12495988,3,BF4-,4.677587258599256e-10,4.7938050612146255e-14,0.9794260077791976
,zinc_12495988,4,CO2,1.5646774933666675e-09,2.044076241741933e-13,0.9669936039289287
22,zinc_1609008,1,TBA+,1.3073969322437787e-09,5.163285333970929e-14,0.9968903271206436
,zinc_1609008,2,Solvent,3.367082355163121e-09,1.7629824044045405e-14,0.9999451729774298
,zinc_1609008,3,BF4-,1.5267271116745931e-09,9.98092037548205e-14,0.9915247619308946
,zinc_1609008,4,CO2,6.071119310257028e-09,3.759661341307619e-13,0.9923884759121184
23,zinc_5052074,1,TBA+,4.3087627443545644e-10,2.86313801424648e-14,0.9912463135735629
,zinc_5052074,2,Solvent,1.2407879945278018e-09,6.531701119441842e-15,0.9999445804022976
,zinc_5052074,3,BF4-,4.862282114000217e-10,3.4104109671829616e-14,0.9902565925620366
,zinc_5052074,4,CO2,3.2219421800710684e-09,2.553313664965529e-13,0.9875954241545968
24,zinc_6072456,1,TBA+,1.730339309624755e-09,8.059534318047589e-14,0.995679768
,zinc_6072456,2,Solvent,4.86336357131853e-09,3.7532975642077935e-14,0.9998808947829286
,zinc_6072456,3,BF4-,3.052430243342978e-09,1.9736183434870395e-13,0.9917082012904104
,zinc_6072456,4,CO2,7.640187556105384e-09,5.543190304309269e-13,0.9895817871361172
25,12586,1,TBA+,3.014224668246279e-10,3.587799790586025e-14,0.9724450130300356
,,2,Solvent,2.0203610182898742e-09,1.5731115551945785e-14,0.9998787620956168
,,3,BF4-,3.01955924772821e-10,3.0704832346048154e-14,0.9797387319177182
,,4,CO2,4.856439054612809e-09,2.857180686868984e-13,0.9931249884689112
26,20147457,1,TBA+,5.257971290678438e-10,2.5824304811922975e-14,0.9951986800828622
,20147457,2,Solvent,1.466712771173701e-09,9.661993356422955e-15,0.9999132168066984
,20147457,3,BF4-,8.622783454097923e-10,4.2725175199296016e-14,0.9951137524126552
,20147457,4,CO2,2.5703984448573036e-09,1.2331946402046754e-13,0.9954175509292204
