solvent ID,smiles,EA_0-1
zinc_649694921,C=CCCCCN(C(C)C)C1COC1,-3.983482951293497
zinc_34925166,C[C@@H](CO)N1CCOCC1,-4.753786810364036
zinc_97048995,CCO[C@H]1C[C@@H]1CO,-4.813294074610889
zinc_1847864,CCOCCN,-4.410282489117668
zinc_19517644,C[C@@H]1CCCCN1CC#N,-3.603773643523864
zinc_166821305,CCN1CCC(C2CC2)CC1,-5.720830998964229
zinc_1169900712,C=CCN(CCOC)C[C@@H]1C[C@H]1CC,-3.902497100519684
zinc_5925700,CC[C@H](CO)NC,-4.8020549885991874
zinc_34556904,CN1CCC(CCO)CC1,-5.183464884974832
zinc_639937133,C[C@@H]1CCN(CC(F)F)[C@H](CO)C1,-5.378869973056756
zinc_379319955,C[C@H](C1CC1)N(CCF)C1CC1,-4.014174833160586
zinc_217876279,CCC[C@H]1C[C@@H](O)CN1C(C)C,-5.56319006217516
zinc_132214672,CO[C@H](C)[C@H](C)NCCO,-5.544856532641541
zinc_45328862,CCCNC1COC1,-4.376403734715862
zinc_308016471,CC[C@@H]1CC[C@H]1N[C@@H](C)COC,-5.431689444558942
zinc_52602181,CCNC[C@H](C)OC,-4.414208462177303
zinc_50403410,CCC[C@@H](CC)NC[C@@H](O)CC,-5.667698368911892
zinc_656771491,C[C@H]1C[C@@H]1CN1C[C@H](OC(F)F)C1,-5.238541425906591
zinc_639248529,CC[C@H]1CN(C[C@@](C)(CC)OC)C1,-5.650123689120827
zinc_1682062,OCCN1CCCCCC1,-5.657045643522128
zinc_1681819,OCCN1CC1,-4.778371144038918
zinc_134174024,C[C@H]1CCC[C@@H](C)N1C[C@H]1CO1,-5.512821326426412
zinc_222797227,C[C@H]1C[C@H]1CN[C@H](C)CC1CC1,-5.301478319170573
zinc_308632433,CC[C@H](COC)N[C@@H](C)CCC1CC1,-5.25963437720323
zinc_44122828,CCCCN(C=O)CCO,-4.2814401492236485
zinc_642681004,CC[C@H](CN(C)CCCOC)OC,-5.603387301555907
zinc_662165877,C=CCCCN[C@H](C=C)CO,-3.808325881866265
zinc_646088437,C=C(CC)CN(C)C(C)(C)C,-4.098393117099146
zinc_5514220,CCCCOCO,-5.692416770985523
zinc_689895764,COC(CN1CC[C@@H](F)C1)OC,-5.699939500517249
zinc_138995782,C[C@@H]1[C@H](CO)CCN1C,-4.355095293263758
zinc_642722226,CCOCCN1C[C@H](C)[C@H](C)[C@@H]1C,-5.332168907771774
zinc_32213988,C1CC[C@H]2COC[C@H]2C1,-5.316379040413913
zinc_164007457,CO[C@@H](C)[C@H](C)N[C@@H](C)C[C@H](C)O,-5.313326667356875
zinc_44480703,CCOCCNC1CCC1,-5.432104905699138
zinc_644919975,COCCN(C)C[C@H](OC)C1CC1,-5.289188213468844
zinc_104615776,CCNC1(CC)CCCC1,-5.901192082901847
zinc_235549491,C[C@H](O)CN(C)[C@H](C)CO,-5.524538273575431
zinc_656657903,CCOC1CN(CCCC(C)C)C1,-4.429474207254028
zinc_388381051,COC[C@@H](C)N[C@@H]1CCC[C@H]1C,-5.345299177198831
zinc_53302809,COCCNCCC(F)F,-4.297088026941838
zinc_87689934,CN(CCF)CC(C)(C)O,-5.754343274611971
zinc_34770970,CC(C)C(C(C)C)N1CCOCC1,-3.996111730569471
zinc_50103713,CC(C)N(CCO)CC(F)F,-4.818637734713657
zinc_697609987,C[C@H](O)[C@@H](C)NCC(C)(F)F,-4.785907318132011
zinc_129486554,C[C@@H]1C[C@H](N[C@H](C)C2CC2)C1,-5.394087112953089
zinc_388208170,CCCC[C@H](C)N(C)C(=O)COC,-4.196742441448555
zinc_674467440,COCCCN1CC[C@H](OC)C1,-5.4043688601055
zinc_307927692,C=C(C)CCN(CC)C(C)C,-4.1305182321243565
zinc_409424471,OCCN1CCC[C@@H](F)C1,-4.619386694299704
zinc_306195622,OC[C@@H](NCCF)C1CC1,-5.550263104662305
zinc_678182645,CCC(CC)CN1CCOC[C@H]1CC,-6.055953620726521
zinc_70558599,COC[C@H](O)CNCC(C)C,-5.166798480830298
zinc_161571242,CCC[C@H](CC)N[C@H](C)[C@@H](C)OC,-5.619655137823499
zinc_308641424,C=C[C@H](CO)N[C@H](C)CCC=C(C)C,-3.809552273574013
zinc_3733588,CC[C@@H]1NCC[C@H]1C,-5.712579461140052
zinc_61479390,COC(=O)CN(C)CC1CCC1,-4.008645374095562
